Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-2309.834	13.746549	-2295.9355	-2331.458	1000.0	-119.406	0.0013799802	-119.38062	-119.40679	108000	-1.1269003e-07	11818.141	-0.01876393	-652.7644	0.63796014	0.012018657	0.1585	79.0	91.50013160705566
27	-2290.9807	12.05966	-2272.1516	-2304.582	1000.0	-122.7575	0.0014626628	-122.73582	-122.75831	112000	-1.0896474e-07	10760.033	-0.019744067	-610.4314	0.6288645	0.01137883	0.1625	79.0	95.11412119865417
28	-2235.0752	22.343252	-2206.2163	-2267.082	1000.0	-126.0444	0.0012182151	-126.028435	-126.04514	116000	-2.7008355e-08	9108.291	-0.014727828	-528.7261	0.62066287	0.009743135	0.12475	79.0	98.8241229057312
29	-2243.6245	15.414456	-2219.9749	-2259.342	1000.0	-129.15387	0.0013546773	-129.12903	-129.1546	120000	-1.0617077e-07	8776.058	-0.00499584	-518.11487	0.60678667	0.015400261	0.22575	4.0	102.42012119293213
30	-2208.1912	16.458258	-2180.1738	-2221.6262	1000.0	-132.26459	0.0011722117	-132.25032	-132.2653	124000	1.3038516e-08	7767.428	-0.017702315	-457.95605	0.6063085	0.00945385	0.13350001	79.0	106.22212290763855
31	-2191.1172	10.413366	-2178.8687	-2207.6711	1000.0	-135.24184	0.0011719915	-135.23065	-135.24255	128000	-9.313226e-09	6948.5566	-0.017700601	-422.96704	0.5926853	0.008476491	0.13775	79.0	110.02911949157715
32	-2203.0056	14.254468	-2182.2024	-2216.3794	1000.0	-138.14189	0.0011863502	-138.12755	-138.14258	132000	-3.8649887e-08	6813.0513	-0.01840201	-415.56848	0.587414	0.013087211	0.16275	79.0	113.84313035011292
33	-2155.8413	32.97001	-2121.9343	-2202.4263	1000.0	-141.0548	0.001100751	-141.04225	-141.05545	136000	-8.381903e-08	5646.951	-0.015290468	-354.79016	0.567	0.010101819	0.14525001	79.0	117.64812207221985
34	-2161.4395	12.260065	-2151.5518	-2182.301	1000.0	-143.79947	0.0011236677	-143.78398	-143.80013	140000	1.3038516e-08	5406.8506	-0.014690913	-341.92883	0.56049645	0.015304751	0.14899999	19.0	120.98512077331543
35	-2145.289	12.416871	-2124.6687	-2157.1123	1000.0	-146.52562	0.0010426829	-146.51698	-146.52625	144000	6.845221e-08	4858.596	-0.01505965	-310.9745	0.5535659	0.010375979	0.1155	79.0	124.76612067222595
36	-2139.4937	11.58299	-2121.4739	-2153.472	1000.0	-149.17172	0.0010040608	-149.1531	-149.17233	148000	-1.1175871e-08	4380.709	-0.015683206	-290.05072	0.54528975	0.012734197	0.12525	79.0	128.6121211051941
