Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
113	-1823.2053	3.0996594	-1818.9972	-1827.7498	1000.0	-178.14137	21.844372	-123.04269	-195.58324	456000	4.656613e-10	227.07335	-0.014290652	-25.111176	0.15281895	0.0076477556	0.124000005	79.0	458.3141219615936
114	-1832.8014	8.818098	-1819.7478	-1843.5673	1000.0	-178.81367	23.69975	-120.72154	-197.84486	460000	-1.1175871e-08	215.72476	-0.016196512	-16.06556	0.14835817	0.008025047	0.134	79.0	462.26912689208984
115	-1827.0681	2.072655	-1824.8809	-1829.3792	1000.0	-179.72165	24.290833	-122.9621	-199.82054	464000	-1.9092113e-08	200.55923	-0.0049513304	-10.089325	0.1460088	0.018888973	0.20324999	3.0	465.4211223125458
116	-1817.6223	4.608503	-1812.0737	-1824.2659	1000.0	-178.69403	26.057035	-122.167946	-201.30911	468000	-1.3969839e-08	188.11453	-0.011845845	-7.3567276	0.14603028	0.016400814	0.15375	19.0	468.6741235256195
117	-1822.5435	10.009141	-1807.0895	-1834.7222	1000.0	-178.8895	25.544937	-121.48561	-202.16544	472000	1.8626451e-09	183.98868	-0.015788825	-6.7638245	0.14803442	0.013889586	0.125	79.0	472.7831208705902
118	-1829.0905	8.36887	-1820.2118	-1842.2848	1000.0	-179.3009	25.734753	-120.06284	-203.0848	476000	-1.2572855e-08	180.54135	-0.016140565	-6.527714	0.14526176	0.013768836	0.127	79.0	476.59512305259705
119	-1818.0111	6.1504893	-1811.396	-1825.3273	1000.0	-179.7275	26.487595	-122.585594	-203.98706	480000	2.142042e-08	175.25505	-0.01827358	-8.098457	0.14366171	0.009943702	0.15599999	79.0	480.4391231536865
120	-1811.4244	9.822326	-1795.7103	-1820.2953	1000.0	-179.24944	25.896461	-122.818634	-204.74036	484000	2.7939677e-08	188.59338	-0.015588762	-12.481239	0.13560916	0.009867557	0.12325	79.0	484.261123418808
121	-1824.5835	10.693505	-1808.7892	-1838.4209	1000.0	-178.70506	26.05775	-118.26639	-205.20776	488000	-4.656613e-10	177.41092	-0.016282734	-6.381672	0.13051397	0.015009024	0.14575	33.0	487.78312373161316
122	-1823.4579	8.260389	-1813.1782	-1832.407	1000.0	-179.77577	25.627913	-118.41386	-205.93666	492000	-9.546056e-09	157.16571	-0.016477287	-7.037071	0.13051972	0.011477279	0.14299999	79.0	491.73912262916565
123	-1822.0667	8.427543	-1809.813	-1830.0186	1000.0	-179.22853	26.252916	-119.30183	-206.49895	496000	1.7229468e-08	160.35376	-0.016311182	-4.7801743	0.12353747	0.008848097	0.1295	79.0	495.7231240272522
124	-1822.8257	3.4690156	-1818.8246	-1828.158	1000.0	-179.65924	26.273567	-118.40083	-207.16965	500000	9.313226e-10	169.50021	-0.015456635	-6.386486	0.12524877	0.009802509	0.1385	79.0	499.6971230506897
125	-1815.6877	8.568773	-1805.514	-1828.7201	1000.0	-179.99428	25.414413	-118.39742	-207.81314	504000	-9.778887e-09	180.04414	-0.016299225	-7.733097	0.10961073	0.009046301	0.13875	79.0	504.1851236820221
126	-1817.2832	7.8321805	-1808.5447	-1829.0431	1000.0	-179.17847	26.435896	-118.32134	-208.5001	508000	-2.2351742e-08	160.07756	-0.015609751	-4.7922707	0.11016691	0.0082094055	0.12525	79.0	508.3091239929199
127	-1821.6765	6.7642717	-1811.7458	-1830.8373	1000.0	-179.25003	26.05205	-118.3548	-208.97902	512000	-5.122274e-09	155.02068	-0.016397307	-4.5069695	0.106066994	0.009535661	0.1255	79.0	512.7251241207123
128	-1817.0715	5.352761	-1810.7925	-1824.2261	1000.0	-179.51843	26.141832	-117.64812	-209.53601	516000	-4.1909516e-09	157.72398	-0.013146826	-5.6463547	0.10654931	0.015212465	0.176	14.0	516.8131241798401
129	-1819.4319	4.8172216	-1812.9453	-1824.5996	1000.0	-179.08246	26.110199	-112.46409	-210.14532	520000	-8.1490725e-09	158.35228	-0.016759906	-6.4877167	0.10487186	0.0085355695	0.132	79.0	521.2781248092651
130	-1821.0835	8.638742	-1806.5933	-1829.0928	1000.0	-179.86684	26.313112	-113.975876	-210.7739	524000	-1.8626451e-09	150.80356	-0.015960438	-4.863865	0.11005029	0.011085421	0.13125	79.0	526.3331246376038
131	-1814.7026	11.070979	-1805.0298	-1833.0935	1000.0	-179.89923	25.942617	-114.648125	-211.25072	528000	-5.5879354e-09	153.7097	-0.01617014	-7.9644165	0.09885249	0.0076214215	0.13525	79.0	531.744122505188
132	-1816.3428	8.226764	-1803.6179	-1825.9297	1000.0	-179.39554	26.374865	-112.025314	-211.53307	532000	3.0035153e-08	158.06947	-0.017223543	-7.807205	0.08902378	0.009591421	0.13125	79.0	538.4341216087341
133	-1810.9319	9.735768	-1796.724	-1820.269	1000.0	-179.25812	26.757887	-110.94134	-212.06848	536000	1.8626451e-09	140.50082	-0.012088582	-5.6355953	0.07802205	0.015160503	0.1895	13.0	543.1411221027374
134	-1807.9973	3.7642093	-1802.017	-1812.4357	1000.0	-179.11646	26.136452	-112.334946	-212.46437	540000	1.1525117e-08	140.77359	-0.016228335	-6.276142	0.07684259	0.01046774	0.13275	79.0	548.2641232013702
135	-1810.2886	3.6388412	-1805.2524	-1814.5446	1000.0	-178.8835	26.159098	-110.129005	-212.73073	544000	-6.9849193e-09	154.68204	-0.015766291	-5.8455887	0.07354874	0.010146651	0.1345	79.0	553.4141218662262
136	-1802.8093	7.5083385	-1790.4188	-1808.9773	1000.0	-179.04756	26.496298	-109.28948	-213.37401	548000	3.259629e-09	136.67926	-0.016386688	-5.2464027	0.06318865	0.013112308	0.13575	79.0	558.6141245365143
137	-1813.3452	6.2278504	-1804.3398	-1820.1741	1000.0	-178.97021	26.11893	-109.35844	-213.78233	552000	7.21775e-09	142.38307	-0.019693602	-7.6824093	0.052590918	0.009239715	0.16475001	79.0	563.4651238918304
138	-1816.3474	5.8060975	-1809.5243	-1825.0936	1000.0	-179.19878	26.502981	-112.22683	-214.38705	556000	-3.0267984e-08	126.3139	-0.015220715	-6.1727657	0.04221208	0.0113677075	0.139	79.0	569.2181224822998
139	-1805.0835	8.349285	-1792.6809	-1816.2096	1000.0	-180.04501	26.29031	-109.44513	-214.93414	560000	3.0267984e-09	125.149826	-0.012600452	-6.621416	0.02876079	0.01543342	0.1465	19.0	574.0291299819946
140	-1813.0586	5.394729	-1805.5598	-1818.7281	1000.0	-178.85669	26.39038	-111.18576	-215.24889	564000	-3.0733645e-08	138.25735	-0.014915533	-5.4941196	0.0263443	0.004800941	0.110249996	79.0	579.560126543045
141	-1803.3215	4.421827	-1798.541	-1808.8578	1000.0	-179.36012	26.585308	-108.67301	-215.87088	568000	-2.0489097e-08	123.01593	-0.016329069	-5.7955246	0.020613454	0.01214063	0.14050001	79.0	585.5971221923828
142	-1800.4414	8.280069	-1791.8395	-1812.7218	1000.0	-178.34135	26.770132	-109.98034	-216.35803	572000	-1.2572855e-08	134.90411	-0.014939413	-5.1933365	0.010892987	0.0084142955	0.1275	79.0	593.4981219768524
143	-1804.6005	5.546014	-1800.4011	-1814.1238	1000.0	-178.52151	26.649364	-109.22247	-216.84409	576000	1.9790605e-08	121.081764	-0.016644597	-5.518423	0.009986615	0.010315052	0.1425	79.0	600.2201244831085
144	-1807.6534	2.4854586	-1804.1503	-1810.8997	1000.0	-178.72337	26.588179	-109.18517	-217.34389	580000	1.17579475e-08	118.97322	-0.011998724	-4.7318115	-0.00025544167	0.01553027	0.16499999	14.0	604.5141229629517
145	-1802.6462	6.235366	-1797.2739	-1812.7114	1000.0	-179.06409	26.899206	-110.790215	-217.83086	584000	-1.8626451e-09	117.353645	-0.010117527	-4.265871	-0.0012801171	0.015394745	0.153	13.0	608.7041244506836
146	-1802.3312	3.7597678	-1797.6409	-1807.9452	1000.0	-178.42578	26.964624	-108.46884	-218.1586	588000	-2.3748726e-08	114.47037	-0.017720658	-5.5052013	-0.00077004434	0.011709606	0.1445	79.0	615.6611220836639
147	-1796.3159	6.7027583	-1788.6819	-1805.5868	1000.0	-178.87822	26.34144	-109.062096	-218.39886	592000	-2.1187589e-08	113.91774	-0.018064018	-9.374657	-0.01366167	0.010687981	0.15675001	79.0	622.2451212406158
148	-1794.6431	3.3197784	-1789.6792	-1798.5785	1000.0	-177.821	26.784176	-109.501724	-218.47046	596000	-4.156027e-08	109.54093	-0.016175427	-5.3633347	-0.01938157	0.007292544	0.14950001	79.0	628.7831227779388
149	-1797.4009	2.220634	-1794.1995	-1800.38	1000.0	-177.9932	26.093317	-106.14231	-218.79799	600000	2.6309863e-08	112.0071	-0.016468111	-6.273037	-0.027747318	0.008253217	0.138	79.0	634.9891228675842
150	-1795.44	8.816734	-1785.5524	-1809.1322	1000.0	-177.87315	27.285086	-109.808266	-219.41039	604000	-3.7252903e-09	111.93413	-0.017805096	-5.831833	-0.041398626	0.014512744	0.15075	79.0	640.7121257781982
151	-1787.0137	8.674223	-1772.2112	-1794.0226	1000.0	-178.14839	26.613037	-109.68186	-220.05789	608000	5.5879354e-09	114.510574	-0.015483289	-7.8611107	-0.042293575	0.00838678	0.127	79.0	645.9471256732941
152	-1793.5273	5.4536734	-1788.5387	-1802.6688	1000.0	-177.44797	26.86631	-107.21847	-220.08073	612000	-8.8475645e-09	106.392685	-0.009313947	-6.803776	-0.04619353	0.015277878	0.13875	12.0	650.5451247692108
153	-1781.5093	3.8845913	-1776.0101	-1786.993	1000.0	-177.32643	27.275324	-110.672195	-220.38734	616000	-3.958121e-09	108.66489	-0.017210748	-5.1686325	-0.048292536	0.009731061	0.14175001	79.0	656.3741257190704
154	-1792.8904	8.01258	-1780.4529	-1800.3606	1000.0	-176.70776	26.832804	-110.13232	-220.59105	620000	2.7939677e-09	107.62999	-0.015544503	-6.0382843	-0.05521671	0.010550631	0.12225	79.0	661.5581202507019
155	-1788.249	5.665798	-1782.2986	-1796.364	1000.0	-177.9503	27.323093	-110.37418	-221.383	624000	3.259629e-09	101.62352	-0.0147911515	-4.6163406	-0.06505837	0.0093848165	0.118999995	79.0	666.7931246757507
156	-1782.2583	12.221887	-1766.7571	-1800.0195	1000.0	-177.32143	26.947567	-111.36738	-221.95226	628000	-1.8626451e-09	102.70514	-0.015609184	-4.1468124	-0.07193008	0.008167695	0.1235	79.0	672.103125333786
157	-1783.9021	9.682567	-1776.483	-1800.4901	1000.0	-176.67703	27.393032	-110.681885	-222.11383	632000	-1.0244548e-08	101.82759	-0.014878685	-4.1740475	-0.07098227	0.012429691	0.13575	79.0	677.0111210346222
158	-1783.8741	8.932604	-1771.4944	-1793.1511	1000.0	-177.17648	26.89045	-110.61696	-222.51057	636000	-1.9092113e-08	103.65379	-0.015751764	-4.4292088	-0.07484785	0.01034888	0.14175001	79.0	682.6411254405975
